Description,Amount,Date,Category
Expense 159,3460.0,2024-02-25,Salaries
Expense 160,,2024-09-10,Office Supplies
Expense 161,1457.0,2023-01-17,R&D
Expense 162,4958.0,2024-02-05,Marketing
Expense 163,4352.0,2024-06-08,Travel
Expense 164,3633.0,2024-06-30,Salaries
Expense 165,2684.0,2023-10-22,R&D
Expense 166,3406.0,2023-12-30,Office Supplies
Expense 167,1224.0,2024-02-28,Travel
Expense 168,3249.0,2024-06-15,Travel
Expense 169,4929.0,2024-07-06,R&D
Expense 170,4840.0,2024-10-02,Travel
Expense 171,3195.0,2023-03-12,Salaries
Expense 172,4611.0,2023-11-03,Salaries
Expense 173,1116.0,2024-07-08,R&D
Expense 174,,2024-11-13,Salaries
Expense 175,2091.0,2024-07-01,Office Supplies
Expense 176,1720.0,2023-03-28,Travel
Expense 177,,2023-12-07,Salaries
Expense 178,,2024-06-26,R&D
Expense 179,1795.0,2023-04-21,Office Supplies
Expense 180,3866.0,2023-12-17,Salaries
Expense 181,,2023-08-30,Salaries
Expense 182,,2024-11-15,Travel
Expense 183,3034.0,2024-12-25,Salaries
Expense 184,3428.0,2024-12-16,Office Supplies
Expense 185,,2024-04-26,Travel
Expense 186,,2024-02-13,Travel
Expense 187,1749.0,2023-10-08,R&D
Expense 188,4048.0,2023-07-06,Travel
Expense 189,1323.0,2024-04-13,R&D
Expense 190,2168.0,2023-10-26,Marketing
Expense 191,2838.0,2023-10-24,Travel
Expense 192,4994.0,2023-11-27,Office Supplies
Expense 193,2953.0,2024-07-01,Office Supplies
Expense 194,1592.0,2024-06-14,Office Supplies
Expense 195,,2024-08-27,Office Supplies
Expense 196,1678.0,2023-02-20,R&D
Expense 197,,2024-04-14,R&D
Expense 198,,2024-07-17,Marketing
Expense 199,4593.0,2024-10-06,Salaries
Expense 200,1329.0,2024-07-01,Office Supplies
Expense 201,,2023-03-18,R&D
Expense 202,,2024-07-04,Travel
Expense 203,3122.0,2024-12-05,Office Supplies
Expense 204,2803.0,2024-12-07,Office Supplies
Expense 205,3760.0,2024-01-05,R&D
Expense 206,4718.0,2024-01-05,Salaries
Expense 207,4509.0,2024-11-30,R&D
Expense 208,4329.0,2023-03-20,Office Supplies
Expense 209,2948.0,2023-10-14,Marketing
Expense 210,3757.0,2023-08-31,Marketing
Expense 211,1354.0,2023-03-31,Travel
Expense 212,2494.0,2024-06-01,Marketing
Expense 213,4442.0,2023-12-18,Travel
Expense 214,3769.0,2023-12-27,R&D
Expense 215,3770.0,2024-11-08,R&D
Expense 216,1106.0,2024-12-07,Travel
Expense 217,,2023-08-01,Salaries
Expense 218,1184.0,2024-05-02,Office Supplies
Expense 219,1313.0,2023-06-26,R&D
Expense 220,,2024-09-17,Salaries
Expense 221,3636.0,2024-05-15,R&D
Expense 222,3187.0,2024-09-16,Salaries
Expense 223,,2024-01-18,R&D
Expense 224,3164.0,2023-09-16,Salaries
Expense 225,,2024-08-27,R&D
Expense 226,3321.0,2023-09-09,Marketing
Expense 227,3938.0,2023-04-14,R&D
Expense 228,2078.0,2023-12-21,R&D
Expense 229,3629.0,2024-07-03,Travel
Expense 230,3624.0,2023-05-21,Salaries
Expense 231,1679.0,2023-02-13,Travel
Expense 232,1669.0,2024-10-10,Salaries
Expense 233,4576.0,2023-08-10,Travel
Expense 234,4961.0,2024-07-11,R&D
Expense 235,2065.0,2023-12-22,Office Supplies
Expense 236,4574.0,2024-05-16,Marketing
Expense 237,,2023-03-07,R&D
Expense 238,3440.0,2024-09-13,R&D
Expense 239,1283.0,2024-02-22,Office Supplies
Expense 240,1052.0,2024-12-28,Marketing
Expense 241,,2024-05-30,Marketing
Expense 242,3897.0,2023-09-10,R&D
Expense 243,3566.0,2024-04-18,R&D
Expense 244,2651.0,2023-01-19,Salaries
Expense 245,2328.0,2024-08-30,Travel
Expense 246,1572.0,2023-08-05,Salaries
Expense 247,3865.0,2023-07-23,Travel
Expense 248,,2024-04-19,Office Supplies
Expense 249,1129.0,2023-01-29,Travel
Expense 250,2693.0,2024-07-27,Travel
